fetched_at_utc,code,demand_mw,own_gen_mw,import_mw
2026-08-06 07:00:39,DL,"5,758",474,"5,284"
2026-08-06 07:00:39,HR,"11,737","2,309","9,428"
2026-08-06 07:00:39,PB,"12,371","3,364","9,007"
2026-08-06 07:00:39,RJ,"11,707","14,597","-2,890"
2026-08-06 07:00:39,UP,"19,582","10,902","8,680"
2026-08-06 07:00:39,UK,"1,752",762,990
2026-08-06 07:00:39,HP,"1,348","1,588",-240
2026-08-06 07:00:39,CH,351,,351
2026-08-06 07:00:39,MH,"22,918","15,201","7,717"
2026-08-06 07:00:39,GJ,"18,203","15,097","3,106"
2026-08-06 07:00:39,MP,"11,008","4,705","6,303"
2026-08-06 07:00:39,CT,"4,841","2,525","2,316"
2026-08-06 07:00:39,GA,607,,607
2026-08-06 07:00:39,TN,"18,303","15,760","2,543"
2026-08-06 07:00:39,KA,"14,705","10,051","4,654"
2026-08-06 07:00:39,TG,"15,364","5,595","9,769"
2026-08-06 07:00:39,AP,"12,188","7,502","4,686"
2026-08-06 07:00:39,KL,"3,237",859,"2,378"
2026-08-06 07:00:39,WB,"10,340","4,839","5,501"
2026-08-06 07:00:39,BR,"6,405",847,"5,558"
2026-08-06 07:00:39,OD,"5,967","3,260","2,707"
2026-08-06 07:00:39,JH,"1,789",409,"1,380"
2026-08-06 07:00:39,AS,"1,718",452,"1,266"
2026-08-06 16:56:49,DL,"5,636",354,"5,282"
2026-08-06 16:56:49,HR,"11,701","2,710","8,991"
2026-08-06 16:56:49,PB,"13,156","4,939","8,217"
2026-08-06 16:56:49,RJ,"15,412","9,386","6,026"
2026-08-06 16:56:49,UP,"25,804","11,883","13,921"
2026-08-06 16:56:49,UK,"2,244",863,"1,381"
2026-08-06 16:56:49,HP,"1,033","1,859",-826
2026-08-06 16:56:49,CH,314,,314
2026-08-06 16:56:49,MH,"23,878","16,467","7,411"
2026-08-06 16:56:49,GJ,"20,661","12,776","7,885"
2026-08-06 16:56:49,MP,"11,545","5,082","6,463"
2026-08-06 16:56:49,CT,"5,258","2,568","2,690"
2026-08-06 16:56:49,GA,577,,577
2026-08-06 16:56:49,TN,"18,862","9,019","9,843"
2026-08-06 16:56:49,KA,"10,200","7,452","2,748"
2026-08-06 16:56:49,TG,"9,976","6,888","3,088"
2026-08-06 16:56:49,AP,"10,923","8,131","2,792"
2026-08-06 16:56:49,KL,"3,814","1,545","2,269"
2026-08-06 16:56:49,WB,"10,731","6,214","4,517"
2026-08-06 16:56:49,BR,"8,595",972,"7,623"
2026-08-06 16:56:49,OD,"5,866","3,260","2,606"
2026-08-06 16:56:49,JH,"1,909",409,"1,500"
2026-08-06 16:56:49,AS,"2,676",327,"2,349"
